brand,model,color,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km,age
ford,Kuga,black,38490.0,190.0,Automatic,Hybrid,5.4,100.0,3.0
hyundai,i10,black,11555.0,67.0,Manual,Petrol,4.6,27782.0,8.0
audi,Q4 e-tron,grey,48886.0,170.0,Automatic,Electric,6.24,4247.0,5.0
honda,CR-V,red,24490.0,155.0,Automatic,Petrol,7.5,57000.0,8.0
kia,Sportage,black,34990.0,150.0,Manual,Petrol,5.9,7500.0,3.0
honda,Civic,black,5800.0,140.0,Manual,Petrol,6.7,160000.0,17.0
hyundai,STARIA,white,56390.0,177.0,Automatic,Diesel,8.9,499.0,3.0
hyundai,KONA,red,18690.0,120.0,Manual,Petrol,5.4,64300.0,7.0
ford,Fiesta,white,5300.0,82.0,Manual,Petrol,5.6,105000.0,14.0
dacia,Sandero,grey,17900.0,91.0,Manual,Petrol,5.0,50.0,4.0
bmw,520,black,6800.0,163.0,Automatic,Diesel,5.6,262000.0,17.0
bmw,X5,blue,87800.0,394.0,Automatic,Hybrid,9.360000000000001,21674.0,4.0
citroen,Spacetourer,black,31900.0,177.0,Automatic,Diesel,5.9,112000.0,8.0
audi,A5,blue,26450.0,150.0,Automatic,Diesel,4.6,133000.0,7.0
audi,A3,white,28888.0,150.0,Automatic,Hybrid,6.12,62819.0,5.0
kia,,white,17950.0,204.0,Manual,Petrol,7.4,47380.0,10.0
alfa-romeo,Romeo 147,red,2999.0,105.0,Manual,Petrol,8.2,171000.0,21.0
audi,A4,silver,3000.0,193.0,Manual,Petrol,9.4,449000.0,27.0
ford,Focus,black,10000.0,120.0,Manual,Diesel,3.8,155000.0,11.0
ford,EcoSport,grey,14950.0,101.0,Manual,Petrol,5.3,59710.0,7.0
ford,Transit,white,17500.0,125.0,Manual,Diesel,7.5,118000.0,10.0
audi,A6,silver,2999.0,163.0,Automatic,Diesel,6.9,340000.0,22.0
hyundai,IONIQ,white,19979.0,120.0,Automatic,Electric,5.46,59000.0,8.0
audi,Q5,silver,30980.0,163.0,Automatic,Diesel,7.2,97200.0,6.0
bmw,X5,blue,68990.0,333.0,Automatic,Petrol,8.4,19788.0,5.0
audi,A4,brown,16980.0,190.0,Automatic,Diesel,4.7,175049.0,8.0
kia,Sportage,black,19975.0,177.0,Automatic,Petrol,7.5,65270.0,10.0
land-rover,Rover Range Rover Sport,black,45850.0,258.0,Automatic,Diesel,6.9,175000.0,8.0
kia,XCeed,green,32950.0,160.0,Automatic,Petrol,6.1,500.0,3.0
bmw,X1,grey,13000.0,143.0,Automatic,Diesel,5.9,87645.0,15.0
hyundai,TUCSON,white,16900.0,116.0,Manual,Diesel,4.6,128000.0,10.0
jaguar,F-Pace,grey,43950.0,300.0,Automatic,Diesel,6.3,57950.0,7.0
audi,A6,brown,31970.0,204.0,Automatic,Diesel,4.9,82850.0,7.0
bmw,730,black,44900.0,265.0,Automatic,Diesel,4.8,146000.0,9.0
audi,A3,black,14880.0,116.0,Manual,Petrol,4.8,115000.0,8.0
bmw,118,black,22650.0,143.0,Manual,Diesel,4.5,194999.0,16.0
ford,EcoSport,red,18990.0,125.0,Automatic,Petrol,6.2,39987.0,7.0
audi,A5,blue,26500.0,230.0,Automatic,Petrol,6.6,74688.0,10.0
land-rover,Rover Range Rover Evoque,grey,63900.0,200.0,Automatic,Petrol,9.3,1500.0,3.0
audi,A1,silver,13991.0,90.0,Manual,Diesel,4.1,98250.0,8.0
audi,Q5,blue,56940.0,265.0,Automatic,Petrol,8.3,27350.0,5.0
kia,Optima,black,21990.0,141.0,Manual,Diesel,4.4,47300.0,8.0
bmw,550,blue,59850.0,530.0,Automatic,Petrol,9.9,67136.0,6.0
bmw,114,white,8400.0,95.0,Manual,Diesel,4.3,179400.0,13.0
bmw,118,black,4500.0,116.0,Manual,Petrol,6.6,240000.0,21.0
hyundai,i10,blue,12791.0,87.0,Automatic,Petrol,4.9,36000.0,9.0
dodge,RAM,black,44590.0,401.0,Automatic,Petrol,6.720000000000001,30200.0,6.0
ford,S-Max,black,41950.0,190.0,Automatic,Hybrid,6.4,10.0,3.0
audi,A8,grey,17990.0,351.0,Automatic,Diesel,7.6,219374.0,16.0
jaguar,F-Pace,white,42880.0,300.0,Automatic,Diesel,6.3,38600.0,7.0
bmw,M2,blue,41450.0,370.0,Automatic,Petrol,7.9,79000.0,9.0
audi,Q3,black,23980.0,150.0,Manual,Petrol,5.8,66032.0,10.0
bmw,218,white,21900.0,150.0,Manual,Diesel,4.6,100250.0,10.0
ford,Focus,white,17884.0,150.0,Automatic,Diesel,4.4,69000.0,7.0
fiat,124 Spider,black,20990.0,140.0,Manual,Petrol,6.4,56000.0,8.0
bmw,225,silver,34195.0,136.0,Automatic,Hybrid,2.0,23000.0,7.0
lamborghini,Huracan,red,334900.0,640.0,Automatic,Petrol,12.3,13819.0,8.0
ford,Kuga,white,47333.0,150.0,Manual,Petrol,5.5,68570.0,5.0
mazda,CX-7,silver,13490.0,173.0,Manual,Diesel,7.5,185000.0,15.0
alfa-romeo,Romeo Stelvio,blue,26540.0,209.0,Automatic,Diesel,4.8,85500.0,9.0
jaguar,F-Pace,black,31880.0,241.0,Automatic,Diesel,5.8,108600.0,9.0
ford,C-Max,brown,8990.0,125.0,Manual,Petrol,5.2,81090.0,12.0
bmw,550,grey,30990.0,381.0,Automatic,Diesel,6.2,179200.0,12.0
